layer,expert,tensor_count,changed_tensors,max_relative_delta_norm,mean_relative_delta_norm,target_cap,delta_scale,scaled,predicted_max_relative_delta_norm
0,120,3,3,0.2985893474669914,0.2917792476193862,0.65,1.0,False,0.2985893474669914
0,121,3,0,0.0,0.0,0.65,1.0,False,0.0
0,122,3,3,0.1433753330934631,0.14134003044986884,0.65,1.0,False,0.1433753330934631
0,123,3,0,0.0,0.0,0.65,1.0,False,0.0
0,124,3,3,0.2252276457994603,0.21445344824831433,0.65,1.0,False,0.2252276457994603
0,125,3,3,0.1779994011972752,0.17073736860731925,0.65,1.0,False,0.1779994011972752
0,126,3,3,0.181563990762598,0.17549971133565526,0.65,1.0,False,0.181563990762598
0,127,3,0,0.0,0.0,0.65,1.0,False,0.0
1,0,3,3,0.2018834867169465,0.19676189118943155,0.65,1.0,False,0.2018834867169465
1,1,3,0,0.0,0.0,0.65,1.0,False,0.0
1,2,3,3,0.1921179322735502,0.183348877631781,0.65,1.0,False,0.1921179322735502
1,3,3,3,0.5026000024053794,0.48191110208085725,0.65,1.0,False,0.5026000024053794
1,4,3,3,0.0902857561124786,0.08802109467824143,0.65,1.0,False,0.0902857561124786
